CROP,Temperature(deg),pH(soil),Rainfall (cm),N (kg /hac),P (kg /hac),K ( kg /hac),Fertilizer required,Humidity
Cauliflower,15,5.5,12.2,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.5,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.5,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.5,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.0,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.1,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.2,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.6,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.2,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.299999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.399999999999999,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.699999999999999,12.499999999999998,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",80
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",81
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",82
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",83
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",84
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",85
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",86
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",87
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",88
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",89
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",90
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",91
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",92
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",93
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",94
Cauliflower,15,5.799999999999999,12.0,100-150,60-80,60,"Urea,DAP,MOP",95
Cauliflower,15,5.799999999999999,12.1,100-150,60-80,60,"Urea,DAP,MOP",80
